location,date,new_cases,new_cases_smoothed
United Kingdom,01/06/2021,3099,3304.143
United Kingdom,02/06/2021,4261,3486.143
United Kingdom,03/06/2021,5179,3743.143
United Kingdom,04/06/2021,6140,4044.857
United Kingdom,05/06/2021,5651,4389.286
United Kingdom,06/06/2021,5223,4691
United Kingdom,07/06/2021,5594,5021
United Kingdom,08/06/2021,5966,5430.571
United Kingdom,09/06/2021,7319,5867.429
United Kingdom,10/06/2021,7237,6161.429
United Kingdom,11/06/2021,7958,6421.143
United Kingdom,12/06/2021,7550,6692.429
United Kingdom,13/06/2021,7330,6993.429
United Kingdom,14/06/2021,7619,7282.714
United Kingdom,15/06/2021,7587,7514.286
United Kingdom,16/06/2021,8808,7727
United Kingdom,17/06/2021,10821,8239
United Kingdom,18/06/2021,10272,8569.571
United Kingdom,19/06/2021,10075,8930.286
United Kingdom,20/06/2021,9074,9179.429
United Kingdom,21/06/2021,10467,9586.286
United Kingdom,22/06/2021,11503,10145.714
United Kingdom,23/06/2021,15882,11156.286
United Kingdom,24/06/2021,16702,11996.429
United Kingdom,25/06/2021,15364,12723.857
United Kingdom,26/06/2021,17944,13848
United Kingdom,27/06/2021,14624,14640.857
United Kingdom,28/06/2021,22717,16390.857
United Kingdom,29/06/2021,20252,17640.714
United Kingdom,30/06/2021,25667,19038.571
United Kingdom,01/07/2021,27621,20598.429
United Kingdom,02/07/2021,26773,22228.286
United Kingdom,03/07/2021,24447,23157.286
United Kingdom,04/07/2021,23824,24471.571
United Kingdom,05/07/2021,27100,25097.714
United Kingdom,06/07/2021,28611,26291.857
United Kingdom,07/07/2021,32048,27203.429
United Kingdom,08/07/2021,32080,27840.429
United Kingdom,09/07/2021,35504,29087.714
United Kingdom,10/07/2021,31800,30138.143
United Kingdom,11/07/2021,31352,31213.571
United Kingdom,12/07/2021,34455,32264.286
United Kingdom,13/07/2021,36443,33383.143
United Kingdom,14/07/2021,41960,34799.143
United Kingdom,15/07/2021,48173,37098.143
United Kingdom,16/07/2021,51485,39381.143
United Kingdom,17/07/2021,53980,42549.714
United Kingdom,18/07/2021,47599,44870.714
United Kingdom,19/07/2021,40394,45719.143
United Kingdom,20/07/2021,46429,47145.714
United Kingdom,21/07/2021,43623,47383.286
United Kingdom,22/07/2021,39570,46154.286
United Kingdom,23/07/2021,35841,43919.429
United Kingdom,24/07/2021,31291,40678.143
United Kingdom,25/07/2021,28656,37972
United Kingdom,26/07/2021,24741,35735.857
United Kingdom,27/07/2021,23362,32440.571
United Kingdom,28/07/2021,25512,29853.286
United Kingdom,29/07/2021,30724,28589.571
United Kingdom,30/07/2021,29294,27654.286
United Kingdom,31/07/2021,25760,26864.143
United Kingdom,01/08/2021,24141,26219.143
United Kingdom,02/08/2021,21687,25782.857
United Kingdom,03/08/2021,21693,25544.429
United Kingdom,04/08/2021,29000,26042.714
United Kingdom,05/08/2021,29873,25921.143
United Kingdom,06/08/2021,31482,26233.714
United Kingdom,07/08/2021,28233,26587
United Kingdom,08/08/2021,27117,27012.143
United Kingdom,09/08/2021,24962,27480
United Kingdom,10/08/2021,23339,27715.143
United Kingdom,11/08/2021,29289,27756.429
United Kingdom,12/08/2021,32763,28169.286
United Kingdom,13/08/2021,32426,28304.143
United Kingdom,14/08/2021,29153,28435.571
United Kingdom,15/08/2021,26440,28338.857
United Kingdom,16/08/2021,28278,28812.571
United Kingdom,17/08/2021,26628,29282.429
United Kingdom,18/08/2021,33646,29904.857
United Kingdom,19/08/2021,36421,30427.429
United Kingdom,20/08/2021,37038,31086.286
United Kingdom,21/08/2021,31783,31462
United Kingdom,22/08/2021,31976,32252.857
United Kingdom,23/08/2021,31798,32755.714
United Kingdom,24/08/2021,30653,33330.714
United Kingdom,25/08/2021,35584,33607.571
United Kingdom,26/08/2021,38002,33833.429
United Kingdom,27/08/2021,37738,33933.429
United Kingdom,28/08/2021,32087,33976.857
United Kingdom,29/08/2021,32937,34114.143
United Kingdom,30/08/2021,26227,33318.286
United Kingdom,31/08/2021,32053,33518.286
